level,game_object_id,transform_id,name,path,active_self,layer,components,component_ids,keyword_match
level74,182,1699,floor (2),3d field/Visuals/FloorTiles (8)/floor (2),True,0,Transform;MeshFilter;MeshRenderer,1699;4483;3207,False
level74,183,1700,robot_ref,CameraParent/robot_ref,True,0,Transform;MeshFilter;MeshRenderer;Camera;MonoBehaviour,1700;4484;3208;3154;6020,True
level74,184,1701,sidewall,3d field/Wall (1)/Physics/sidewall,True,16,Transform;MeshFilter;MeshRenderer;BoxCollider,1701;4485;3209;5767,False
level74,185,1702,Baked (3),ReflectionsAndProbes/ReflectionProbesBaked/Baked (3),True,0,Transform;ReflectionProbe,1702;5995,False
level74,186,1703,Wall (2),3d field/Wall (2),True,0,Transform,1703,False
level74,187,1704,meas_16inch (2),SizingCubes/meas_16inch (2),True,0,Transform;MeshFilter;MeshRenderer;BoxCollider,1704;4486;3210;5768,False
level74,188,1705,Directional Light (4),Champs/ChampsLights/Directional Light (4),True,0,Transform;Light;MonoBehaviour,1705;5945;6021,False
level74,189,1706,Visuals,3d field/Wall (1)/Visuals,True,0,Transform,1706,False
level74,190,1707,FloorTiles (7),3d field/Visuals/FloorTiles (7),True,0,Transform;MonoBehaviour,1707;6022,False
level74,191,1708,Camera,ReflectionsAndProbes/MirrorCameras/Red/Sheet6/Camera,True,0,Transform;Camera;MonoBehaviour,1708;3155;6023,False
level74,192,1709,floor (1),3d field/Visuals/FloorTiles (8)/floor (1),True,0,Transform;MeshFilter;MeshRenderer,1709;4487;3211,False
level74,193,1710,Sheet4,ReflectionsAndProbes/MirrorCameras/Red/Sheet4,True,0,Transform;MeshFilter;MeshRenderer,1710;4488;3212,False
level74,194,1711,Red,ReflectionsAndProbes/MirrorCameras/Red,False,0,Transform,1711,False
level74,195,1712,Physics,3d field/Wall (1)/Physics,True,0,Transform,1712,False
level74,196,1713,Sheet2,ReflectionsAndProbes/MirrorCameras/Blue/Sheet2,True,0,Transform;MeshFilter;MeshRenderer,1713;4489;3213,False
level74,197,,UserText2,UserText2,True,0,RectTransform;MeshRenderer;CanvasRenderer;MonoBehaviour,6001;3214;5999;6003,False
level74,198,1714,Goals (1),Champs/ChampsLights/Goals (1),True,0,Transform;Light;MonoBehaviour,1714;5946;6024,True
level74,199,1715,Cylinder (12),3d field/Wall (2)/Visuals/Cylinder (12),True,16,Transform;MeshFilter;MeshRenderer,1715;4490;3215,False
level74,200,1716,Cylinder,3d field/Wall (1)/Physics/Cylinder,True,16,Transform;MeshFilter;MeshRenderer;CapsuleCollider,1716;4491;3216;5980,False
level74,201,1717,Cylinder (1),3d field/Wall (1)/Visuals/Cylinder (1),True,16,Transform;MeshFilter;MeshRenderer,1717;4492;3217,False
level74,202,1661,3d field,3d field,True,0,Transform,1661,False
level74,203,1718,blueLight (3),Lighting/Lights/BlueLights/blueLight (3),True,0,Transform;Light;MonoBehaviour,1718;5947;6025,False
level74,204,1719,floor (1),3d field/Visuals/FloorTiles (3)/floor (1),True,0,Transform;MeshFilter;MeshRenderer,1719;4493;3218,False
level74,205,1720,SpotLights,Lighting/Lights/SpotLights,True,21,Transform;Light;MonoBehaviour,1720;5948;6026,False
level74,206,1721,floor (1),3d field/Visuals/FloorTiles (5)/floor (1),True,0,Transform;MeshFilter;MeshRenderer,1721;4494;3219,False
level74,207,1722,camera_ref,CameraParent/camera_ref,True,0,Transform;MeshFilter;MeshRenderer;Camera;MonoBehaviour,1722;4495;3220;3156;6027,False
level74,208,1723,Dev,Dev,True,0,Transform,1723,False
level74,209,1724,Adaptive Probe Volume,ReflectionsAndProbes/Adaptive Probe Volume,True,0,Transform;MonoBehaviour,1724;6028,False
level74,210,1725,Blue Right Cam,CameraParent/Blue Right Cam,True,0,Transform;Camera;MonoBehaviour,1725;3157;6029,False
level74,211,1726,Blue Center Cam,CameraParent/Blue Center Cam,True,0,Transform;Camera;MonoBehaviour,1726;3158;6030,False
level74,212,1727,Cylinder (11),3d field/Wall (2)/Visuals/Cylinder (11),True,16,Transform;MeshFilter;MeshRenderer,1727;4496;3221,False
level74,213,1728,Cylinder (4),3d field/Wall (1)/Visuals/Cylinder (4),True,16,Transform;MeshFilter;MeshRenderer,1728;4497;3222,False
level74,214,1729,Wall (1),3d field/Wall (1),True,0,Transform,1729,False
level74,215,1730,floor (1),3d field/Visuals/FloorTiles (2)/floor (1),True,0,Transform;MeshFilter;MeshRenderer,1730;4498;3223,False
level74,216,1731,Cylinder (2),3d field/Wall (2)/Visuals/Cylinder (2),True,16,Transform;MeshFilter;MeshRenderer,1731;4499;3224,False
level74,217,1732,Red Center Cam,CameraParent/Red Center Cam,True,0,Transform;Camera;MonoBehaviour,1732;3159;6031,False
level74,218,1733,floor (0),3d field/Visuals/FloorTiles (7)/floor (0),True,0,Transform;MeshFilter;MeshRenderer,1733;4500;3225,False
level74,219,1734,SpotLights (1),Lighting/Lights/SpotLights (1),True,21,Transform;Light;MonoBehaviour,1734;5949;6032,False
level74,220,1735,floor (3),3d field/Visuals/FloorTiles (8)/floor (3),True,0,Transform;MeshFilter;MeshRenderer,1735;4501;3226,False
level74,221,1736,Cylinder (7),3d field/Wall (1)/Visuals/Cylinder (7),True,16,Transform;MeshFilter;MeshRenderer,1736;4502;3227,False
level74,222,1737,disableCJ,Dev/disableCJ,False,0,Transform;MonoBehaviour,1737;6033,False
level74,223,1738,ReflectionProbesBaked,ReflectionsAndProbes/ReflectionProbesBaked,True,0,Transform;MonoBehaviour,1738;6034,False
level74,224,1739,Camera,Camera,False,0,Transform;Camera;MonoBehaviour,1739;3160;6035,False
level74,225,1740,Cylinder (8),3d field/Wall (2)/Visuals/Cylinder (8),True,16,Transform;MeshFilter;MeshRenderer,1740;4503;3228,False
level74,226,1741,Sheet5,ReflectionsAndProbes/MirrorCameras/Red/Sheet5,True,0,Transform;MeshFilter;MeshRenderer,1741;4504;3229,False
level74,227,1742,ImpulseAllGE,Dev/ImpulseAllGE,False,0,Transform;MonoBehaviour,1742;6036,False
level74,228,1743,Blue,ReflectionsAndProbes/MirrorCameras/Blue,False,0,Transform,1743,False
level74,229,1744,white (3),Tapelines/white (3),True,0,Transform;MeshFilter;MeshRenderer,1744;4505;3230,False
level74,230,1745,redlight (2),Lighting/Lights/RedLights/redlight (2),True,0,Transform;Light;MonoBehaviour,1745;5950;6037,False
level74,231,1746,ballReturn1,ballReturn1,True,16,Transform;MeshFilter;MeshRenderer;BoxCollider;MonoBehaviour,1746;4506;3231;5769;6038,True
level74,232,1747,floor (3),3d field/Visuals/FloorTiles (7)/floor (3),True,0,Transform;MeshFilter;MeshRenderer,1747;4507;3232,False
level74,233,1748,URPSettings,URPSettings,True,0,Transform;MonoBehaviour;MonoBehaviour;MeshRenderer;MeshFilter,1748;6040;6039;3233;4508,False
level74,234,1749,disableFUEL,Dev/disableFUEL,False,0,Transform;MonoBehaviour,1749;6041,True
level74,235,1750,Cylinder (11),3d field/Wall (1)/Visuals/Cylinder (11),True,16,Transform;MeshFilter;MeshRenderer,1750;4509;3234,False
level74,236,1751,sidewall (1),3d field/Wall (2)/Visuals/sidewall (1),True,16,Transform;MeshFilter;MeshRenderer,1751;4510;3235,False
level74,237,1752,Respawn,3d field/floor/Respawn,True,28,Transform;MeshFilter;MeshRenderer,1752;4511;3236,False
level74,238,1753,Visuals,3d field/Visuals,True,0,Transform,1753,False
level74,239,1754,Lights,Lighting/Lights,True,0,Transform,1754,False
level74,240,1755,floor (4),3d field/Visuals/FloorTiles (6)/floor (4),True,0,Transform;MeshFilter;MeshRenderer,1755;4512;3237,False
level74,241,1756,Sheet1,ReflectionsAndProbes/MirrorCameras/Blue/Sheet1,True,0,Transform;MeshFilter;MeshRenderer,1756;4513;3238,False
level74,242,1757,Baked,ReflectionsAndProbes/ReflectionProbesBaked/Baked,True,0,Transform;ReflectionProbe,1757;5996,False
level74,243,1758,meas_16inch (1),SizingCubes/meas_16inch (1),True,0,Transform;MeshFilter;MeshRenderer;BoxCollider,1758;4514;3239;5770,False
level74,244,1759,Cylinder (6),3d field/Wall (2)/Visuals/Cylinder (6),True,16,Transform;MeshFilter;MeshRenderer,1759;4515;3240,False
level74,245,1760,floor (2),3d field/Visuals/FloorTiles (4)/floor (2),True,0,Transform;MeshFilter;MeshRenderer,1760;4516;3241,False
level74,246,1761,disableBS,Dev/disableBS,False,0,Transform;MonoBehaviour,1761;6042,False
level74,247,1762,meas_16inch (3),SizingCubes/meas_16inch (3),True,0,Transform;MeshFilter;MeshRenderer;BoxCollider,1762;4517;3242;5771,False
level74,248,1763,Directional Light (3),Champs/ChampsLights/Directional Light (3),True,0,Transform;Light;MonoBehaviour,1763;5951;6043,False
level74,249,1764,floor (0),3d field/Visuals/FloorTiles (1)/floor (0),True,0,Transform;MeshFilter;MeshRenderer,1764;4518;3243,False
level74,250,1765,FloorTiles (4),3d field/Visuals/FloorTiles (4),True,0,Transform;MonoBehaviour,1765;6044,False
level74,251,1766,floor (4),3d field/Visuals/FloorTiles (3)/floor (4),True,0,Transform;MeshFilter;MeshRenderer,1766;4519;3244,False
level74,252,1767,floor (4),3d field/Visuals/FloorTiles (7)/floor (4),True,0,Transform;MeshFilter;MeshRenderer,1767;4520;3245,False
level74,253,1768,Cylinder,3d field/Wall (2)/Visuals/Cylinder,True,16,Transform;MeshFilter;MeshRenderer;CapsuleCollider,1768;4521;3246;5981,False
level74,254,1769,disableAB,Dev/disableAB,False,0,Transform;MonoBehaviour,1769;6045,False
level74,255,1770,floor (3),3d field/Visuals/FloorTiles/floor (3),True,0,Transform;MeshFilter;MeshRenderer,1770;4522;3247,False
level74,256,1771,Physics,3d field/Wall (2)/Physics,True,0,Transform,1771,False
level74,257,1772,red,Tapelines/red,True,0,Transform;MeshFilter;MeshRenderer,1772;4523;3248,False
level74,258,1773,Visuals,3d field/Wall (2)/Visuals,True,0,Transform,1773,False
level74,259,1774,floor (3),3d field/Visuals/FloorTiles (6)/floor (3),True,0,Transform;MeshFilter;MeshRenderer,1774;4524;3249,False
level74,260,1775,bluelight (1),Lighting/Lights/BlueLights/bluelight (1),True,0,Transform;Light;MonoBehaviour,1775;5952;6046,False
level74,261,1776,floor (3),3d field/Visuals/FloorTiles (3)/floor (3),True,0,Transform;MeshFilter;MeshRenderer,1776;4525;3250,False
level74,262,1777,red (1),Tapelines/red (1),True,0,Transform;MeshFilter;MeshRenderer,1777;4526;3251,False
level74,263,1778,FloorTiles (8),3d field/Visuals/FloorTiles (8),True,0,Transform;MonoBehaviour,1778;6047,False
level74,264,1779,floor (2),3d field/Visuals/FloorTiles (7)/floor (2),True,0,Transform;MeshFilter;MeshRenderer,1779;4527;3252,False
level74,265,1780,Sheet6,ReflectionsAndProbes/MirrorCameras/Red/Sheet6,True,0,Transform;MeshFilter;MeshRenderer,1780;4528;3253,False
level74,266,1781,meas_16inch,SizingCubes/meas_16inch,True,0,Transform;MeshFilter;MeshRenderer;BoxCollider,1781;4529;3254;5772,False
level74,267,1782,ProbeVolumePerSceneData,ProbeVolumePerSceneData,True,0,Transform;MonoBehaviour,1782;6048,False
level74,268,1783,Cylinder,3d field/Wall (1)/Visuals/Cylinder,True,16,Transform;MeshFilter;MeshRenderer;CapsuleCollider,1783;4530;3255;5982,False
level74,269,1784,Camera,ReflectionsAndProbes/MirrorCameras/BlueMega/Camera,True,0,Transform;Camera;MonoBehaviour,1784;3161;6049,False
level74,270,1785,floor (0),3d field/Visuals/FloorTiles (2)/floor (0),True,0,Transform;MeshFilter;MeshRenderer,1785;4531;3256,False
level74,271,1786,FloorTiles (5),3d field/Visuals/FloorTiles (5),True,0,Transform;MonoBehaviour,1786;6050,False
level74,272,1787,Camera,ReflectionsAndProbes/MirrorCameras/Red/Sheet4/Camera,True,0,Transform;Camera;MonoBehaviour,1787;3162;6051,False
level74,273,1788,ballReturn1 (1),ballReturn1 (1),True,16,Transform;MeshFilter;MeshRenderer;BoxCollider;MonoBehaviour,1788;4532;3257;5773;6052,True
level74,274,1789,FloorTiles (6),3d field/Visuals/FloorTiles (6),True,0,Transform;MonoBehaviour,1789;6053,False
level74,275,1790,floor (1),3d field/Visuals/FloorTiles (4)/floor (1),True,0,Transform;MeshFilter;MeshRenderer,1790;4533;3258,False
level74,276,1791,Cylinder (9),3d field/Wall (2)/Visuals/Cylinder (9),True,16,Transform;MeshFilter;MeshRenderer,1791;4534;3259,False
level74,277,1792,white (1),Tapelines/white (1),True,0,Transform;MeshFilter;MeshRenderer,1792;4535;3260,False
level74,278,1793,bluelight (2),Lighting/Lights/BlueLights/bluelight (2),True,0,Transform;Light;MonoBehaviour,1793;5953;6054,False
level74,279,1794,floor (2),3d field/Visuals/FloorTiles (6)/floor (2),True,0,Transform;MeshFilter;MeshRenderer,1794;4536;3261,False
level74,280,1795,floor (0),3d field/Visuals/FloorTiles (3)/floor (0),True,0,Transform;MeshFilter;MeshRenderer,1795;4537;3262,False
level74,281,1796,Camera,ReflectionsAndProbes/MirrorCameras/RedMega (1)/Camera,True,0,Transform;Camera;MonoBehaviour,1796;3163;6055,False
level74,282,1797,MirrorCameras,ReflectionsAndProbes/MirrorCameras,True,0,Transform;MonoBehaviour,1797;6056,False
level74,283,1798,floor (3),3d field/Visuals/FloorTiles (5)/floor (3),True,0,Transform;MeshFilter;MeshRenderer,1798;4538;3263,False
level74,284,1799,Spectator Cam,CameraParent/Spectator Cam,True,0,Transform;Camera;MonoBehaviour,1799;3164;6057,False
level74,285,1800,Champs,Champs,False,0,Transform;MonoBehaviour,1800;6058,False
level74,286,1801,Camera,ReflectionsAndProbes/MirrorCameras/Red/Sheet5/Camera,True,0,Transform;Camera;MonoBehaviour,1801;3165;6059,False
level74,287,1802,floor (2),3d field/Visuals/FloorTiles (1)/floor (2),True,0,Transform;MeshFilter;MeshRenderer,1802;4539;3264,False
level74,288,1803,floor (0),3d field/Visuals/FloorTiles (4)/floor (0),True,0,Transform;MeshFilter;MeshRenderer,1803;4540;3265,False
level74,289,1804,BlueMega,ReflectionsAndProbes/MirrorCameras/BlueMega,True,0,Transform;MeshFilter;MeshRenderer,1804;4541;3266,False
level74,290,1805,Baked (4),ReflectionsAndProbes/ReflectionProbesBaked/Baked (4),True,0,Transform;ReflectionProbe,1805;5997,False
level74,291,1806,sidewall (1),3d field/Wall (1)/Visuals/sidewall (1),True,16,Transform;MeshFilter;MeshRenderer,1806;4542;3267,False
level74,292,1807,floor_combined,3d field/Visuals/floor_combined,True,0,Transform;MeshFilter;MeshRenderer;MonoBehaviour,1807;4543;3268;6060,False
level74,293,1808,Red Right Cam,CameraParent/Red Right Cam,True,0,Transform;Camera;MonoBehaviour,1808;3166;6061,False
level74,294,1809,Cylinder (5),3d field/Wall (2)/Visuals/Cylinder (5),True,16,Transform;MeshFilter;MeshRenderer,1809;4544;3269,False
level74,295,1810,white,Tapelines/white,True,0,Transform;MeshFilter;MeshRenderer,1810;4545;3270,False
level74,296,1811,blue,Tapelines/blue,True,0,Transform;MeshFilter;MeshRenderer,1811;4546;3271,False
level74,297,1812,floor (1),3d field/Visuals/FloorTiles (1)/floor (1),True,0,Transform;MeshFilter;MeshRenderer,1812;4547;3272,False
level74,298,1813,red (2),Tapelines/red (2),True,0,Transform;MeshFilter;MeshRenderer,1813;4548;3273,False
level74,299,1814,FloorTiles,3d field/Visuals/FloorTiles,True,0,Transform;MonoBehaviour,1814;6062,False
level74,300,1815,floor (1),3d field/Visuals/FloorTiles/floor (1),True,0,Transform;MeshFilter;MeshRenderer,1815;4549;3274,False
level74,301,2135,Cylinder (36),BigGate (1)/Visuals/Cylinder (36),True,0,Transform;MeshFilter;MeshRenderer,2135;5480;3664,False
level74,302,2356,Cube (29),CenterGoal Blue/Visuals/Cube (29),True,0,Transform;MeshFilter;MeshRenderer,2356;5264;3351,True
level74,303,2002,Cylinder (43),MovingGate Blue/Base/Visuals/Cylinder (43),True,0,Transform;MeshFilter;MeshRenderer,2002;5104;4364,False
level74,304,2893,Cylinder (34),MovingGate Blue/Base/Visuals/Cylinder (34),True,0,Transform;MeshFilter;MeshRenderer,2893;5033;3895,False
level74,305,1880,Cube (8),CenterGoal Red/Physics/Cube (8),True,0,Transform;MeshFilter;MeshRenderer;BoxCollider,1880;5365;3541;5923,True
level74,306,2150,Cube (46),CenterGoal Red/Visuals/Cube (46),True,0,Transform;MeshRenderer;MeshFilter,2150;3352;4619,True
level74,307,3136,Cube (1),CenterGoal Red/Visuals/rside/Cube (1),True,0,Transform;MeshRenderer;MeshFilter,3136;3697;5431,True
level74,308,3108,Plane (2),MovingGate Red/Arm/Visuals/VisionTag (2)/Plane (2),True,0,Transform;MeshFilter;MeshRenderer,3108;4708;3475,False
level74,309,2044,RlightUnlit (5),CenterGoal Red/Visuals/Lights/Unlit/RlightUnlit (5),True,0,Transform;MeshRenderer;MeshFilter,2044;3667;5708,True
level74,310,2800,Plane (2),CenterGoal Blue/Visuals/VisionTag (8)/Plane (2),True,0,Transform;MeshFilter;MeshRenderer,2800;5011;4247,True
level74,311,2567,Cylinder (42),BigGate (1)/Visuals/Cylinder (42),True,0,Transform;MeshFilter;MeshRenderer,2567;4664;3480,False
level74,312,1974,Cylinder (21),MovingGate Blue/Base/Visuals/Cylinder (21),True,0,Transform;MeshFilter;MeshRenderer,1974;4929;4334,False
level74,313,2557,Cylinder (7),BigGate (1)/Visuals/Cylinder (7),True,0,Transform;MeshFilter;MeshRenderer,2557;5265;3577,False
level74,314,3083,Cube (24),CenterGoal Blue/Visuals/Cube (24),True,0,Transform;MeshFilter;MeshRenderer,3083;4783;3894,True
level74,315,2684,Cube (5),Wharehouse Red/PlayerStation/Physics/Cube (5),True,0,Transform;MeshFilter;MeshRenderer;BoxCollider,2684;4676;3867;5894,False
level74,316,1900,Cylinder (46),MovingGate Red/Base/Visuals/Cylinder (46),True,0,Transform;MeshFilter;MeshRenderer,1900;4796;3368,False
level74,317,1871,Cylinder (10),MovingGate Blue/Base/Visuals/Cylinder (10),True,0,Transform;MeshFilter;MeshRenderer,1871;5288;3476,False
level74,318,2011,Cylinder (41),BigGate (1)/Visuals/Cylinder (41),True,0,Transform;MeshFilter;MeshRenderer,2011;5707;4009,False
level74,319,2308,Cylinder (8),CenterGoal Red/Visuals/Cylinder (8),True,0,Transform;MeshFilter;MeshRenderer,2308;4914;4388,True
level74,320,2294,Cube,CenterGoal Red/Physics/funnel/Cube,True,0,Transform;MeshFilter;MeshRenderer;BoxCollider,2294;4723;3345;5858,True
level74,321,2074,Plane (3),Wharehouse Red/PlayerStation/Visuals/VisionTag (1)/Plane (3),True,0,Transform;MeshFilter;MeshRenderer,2074;5514;3421,False
level74,322,2239,Cube (40),CenterGoal Blue/Visuals/Cube (40),True,0,Transform;MeshRenderer;MeshFilter,2239;3463;5454,True
level74,323,2029,Cylinder (3),CenterGoal Blue/Visuals/Cylinder (3),True,0,Transform;MeshFilter;MeshRenderer,2029;4569;4285,True
level74,324,3132,Pipe (1),HangBlue/Visuals/Pipe (1),True,0,Transform;MeshRenderer;MeshFilter,3132;3789;4726,False
level74,325,1906,Decal (2),PlayerStations (2)/Visuals/Decal (2),True,0,Transform;MeshFilter;MeshRenderer,1906;5074;3555,False
